mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
11.208,145.582,1.348,0.314,1.000,1.000,2.000,58.936,382.560,574.136,276.745,15.647,46.743,116.330,52.220,152.400,2277.580,380.250,1174.360,230.940,1087.439,0.957,3.151
10.680,137.738,1.320,0.298,1.000,1.000,2.000,58.664,381.521,624.935,315.922,15.647,46.107,136.437,64.713,261.350,2751.460,401.100,1437.140,262.903,1159.567,1.037,3.350
8.323,120.864,1.400,0.373,1.000,1.000,2.000,194.037,410.357,660.354,334.811,28.700,61.487,163.403,78.467,2073.000,2974.960,1083.200,1815.880,332.057,1245.125,1.297,3.766
7.969,86.843,1.406,0.429,1.000,1.000,2.000,194.064,411.351,677.368,346.054,29.353,65.577,177.147,86.140,2073.000,2974.960,1125.400,1815.880,358.217,1265.289,1.373,3.809
6.553,57.037,1.378,0.397,1.000,1.000,2.000,194.326,411.859,726.589,370.565,30.477,68.287,199.587,96.077,2082.600,3230.120,1133.000,1864.100,394.427,1323.101,1.520,4.027
5.786,44.264,1.390,0.433,1.000,1.000,2.000,194.386,412.629,756.405,393.343,31.810,71.897,212.433,104.033,2115.700,3824.140,1135.000,2116.440,420.173,1366.182,1.657,4.206
5.311,36.481,1.386,0.419,1.000,1.000,2.000,61792.259,800.144,770.818,396.276,3607.350,118.920,226.097,108.730,2168.650,3832.260,1244.900,2311.900,4061.097,62454.978,4.777,52.191
5.333,23.956,1.364,0.413,1.000,1.000,2.000,61792.277,800.092,777.838,397.839,3607.023,119.427,232.930,111.163,2168.650,3832.260,1244.900,2311.900,4070.543,62454.586,4.797,52.190
5.333,31.200,1.364,0.413,1.000,1.000,2.000,61792.447,709.304,826.526,416.130,3603.783,97.653,255.937,118.973,2200.500,3894.360,1244.900,2311.900,4076.347,62452.059,4.787,52.173
5.064,28.868,1.348,0.401,1.000,1.000,2.000,61792.501,709.358,788.708,410.169,3602.837,96.357,257.237,121.557,2200.500,3218.000,1180.300,2311.900,4077.987,62450.797,4.727,52.164
